track,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target
Lucky Man,Montgomery Gentry,0.578,0.471,4,-7.27,1,0.0289,0.368,0,0.159,0.532,133.061,196707,4,30.88059,13,1
On The Hotline,Pretty Ricky,0.704,0.854,10,-5.477,0,0.183,0.0185,0,0.148,0.688,92.988,242587,4,41.51106,10,1
Clouds Of Dementia,Candlemass,0.162,0.836,9,-3.009,1,0.0473,0.000111,0.00457,0.174,0.3,86.964,338893,4,65.32887,13,0
"Heavy Metal, Raise Hell!",Zwartketterij,0.188,0.994,4,-3.745,1,0.166,7.39e-06,0.0784,0.192,0.333,148.44,255667,4,58.59528,9,0
I Got A Feelin',Billy Currington,0.63,0.764,2,-4.353,1,0.0275,0.363,0,0.125,0.631,112.098,193760,4,22.62384,10,1
Dantzig Station,State Of Art,0.726,0.837,11,-7.223,0,0.0965,0.373,0.268,0.136,0.969,135.347,192720,4,28.29051,10,0
Divorced,Blacklisted,0.365,0.922,1,-2.644,1,0.071,0.00285,0,0.321,0.29,77.25,89427,4,45.77202,4,0
Where I Come From,Alan Jackson,0.726,0.631,11,-8.136,0,0.0334,0.22,0,0.193,0.746,124.711,239240,4,35.59732,10,1
Nothin' To Die For,Tim McGraw,0.481,0.786,10,-5.654,1,0.0288,0.0538,0,0.0759,0.389,153.105,253640,4,19.65701,11,1
I Want to Know Your Plans,Say Anything,0.647,0.324,7,-9.679,1,0.0377,0.354,0,0.115,0.344,124.213,314286,3,32.66343,16,0
F.U.R.B. (F U Right Back),Frankee,0.787,0.632,8,-3.487,1,0.137,0.103,6.78e-06,0.388,0.612,141.026,198173,4,18.091,9,1
Amarillo Sky,Jason Aldean,0.491,0.776,2,-3.887,1,0.0393,0.314,0,0.146,0.428,154.988,202547,4,37.86861,9,1
Gin And Juice,Hot Rod Circuit,0.455,0.737,1,-6.206,1,0.0272,0.00114,0.000487,0.195,0.206,94.028,224053,4,62.77759,9,0
Six-Pack Summer,Phil Vassar,0.725,0.733,0,-6.66,1,0.0242,0.508,0,0.173,0.843,100.311,219827,4,27.0663,8,1
Hatho Pai Kariya Na Kar,Kartar Ramla,0.497,0.421,2,-14.059,0,0.187,0.985,0.839,0.148,0.804,92.19,232719,4,33.3613,15,0
Serious Hardcore - Original Mix,Ham,0.509,0.942,11,-6.899,1,0.0628,0.000639,0.882,0.0788,0.163,169.96,460080,4,34.78597,12,0
Daddy Won't Sell The Farm,Montgomery Gentry,0.708,0.728,7,-7.039,1,0.0298,0.011,2.26e-05,0.0556,0.704,119.881,258640,4,33.81641,15,1
Move Along,The All-American Rejects,0.518,0.916,3,-3.858,1,0.0454,0.000148,0,0.291,0.646,109.864,238880,4,19.81215,10,1
Era De Maggio,Tito Schipa,0.395,0.248,1,-10.025,1,0.0519,0.979,0,0.177,0.324,85.174,207888,3,34.50252,10,0
Apply Some Pressure,Maximo Park,0.378,0.953,9,-3.632,1,0.138,0.000719,2.89e-05,0.0936,0.512,167.808,200347,4,20.58661,12,0
It's So Hard,Big Punisher Featuring Donell Jones,0.9,0.593,10,-6.629,0,0.333,0.0554,0,0.0304,0.633,92.946,172933,4,21.78144,9,1
Celtic Pride,The Mahones,0.329,0.812,2,-11.48,1,0.0872,0.0141,0.0786,0.0603,0.4,165.013,272880,4,97.84874,9,0
Birth Interlude,Clubroot,0.389,0.598,4,-8.473,1,0.0363,0.782,0.948,0.0825,0.0396,140.002,226147,4,22.35533,10,0
Make It Rain,Fat Joe Featuring Lil Wayne,0.744,0.697,11,-5.063,0,0.197,0.0106,0,0.0842,0.767,149.28,247413,4,42.63475,9,1
Here Comes The Summer,The Fiery Furnaces,0.723,0.785,5,-5.722,1,0.0302,0.0247,0.00347,0.26,0.816,128.03,209987,4,64.24515,9,0
In the Dreamlife You Need a Rubber Soul,The Clean,0.56,0.808,10,-6.725,1,0.0306,0.2,0.308,0.416,0.691,128.051,205827,4,30.93391,11,0
He Gets That From Me,Reba McEntire,0.643,0.391,10,-10.09,1,0.0296,0.622,1.38e-05,0.11,0.418,143.786,219933,4,28.43124,12,1
Stay - 2006 Remaster,Frankie Valli & The Four Seasons,0.735,0.732,10,-8.915,1,0.0699,0.572,2.61e-05,0.0997,0.656,117.58,116507,4,45.59357,5,0
Improvisation 5,Joe Mcphee,0.536,0.081,8,-20.968,1,0.0877,0.958,0.922,0.113,0.477,138.498,186973,1,27.01863,8,0
Carlene,Phil Vassar,0.587,0.88,4,-5.725,1,0.0324,0.0784,0,0.182,0.778,129.222,246240,4,20.93198,10,1
Someday,Sugar Ray,0.743,0.67,1,-4.547,0,0.0293,0.0108,0.0702,0.22,0.934,110.832,243333,4,25.36994,12,1
7 Days,Craig David,0.659,0.812,4,-7.499,0,0.0487,0.23,0,0.0951,0.888,83.013,235133,4,25.46132,12,1
True Rebel,Nitrogenetics,0.539,0.985,1,-7.354,1,0.126,0.00857,0.12,0.0792,0.127,162.065,363000,4,25.11119,17,0
Rock Your Body,Justin Timberlake,0.891,0.714,4,-6.055,0,0.14,0.202,0.000234,0.0521,0.818,100.972,267267,4,37.11249,12,1
Bed,J. Holiday,0.684,0.606,5,-7.268,0,0.0504,0.17,0,0.058,0.723,127.901,275107,4,41.49527,13,1
Daft Punk Is Playing at My House - Soulwax Shibuya Mix,LCD Soundsystem,0.658,0.954,9,-5.376,1,0.0792,0.000891,9.8e-06,0.115,0.486,132.029,411084,3,37.91539,18,0
Scars,Papa Roach,0.471,0.936,11,-3.354,1,0.0448,0.0783,0,0.171,0.45,89.881,208186,4,22.21413,7,1
Ain't It Funny,Jennifer Lopez Featuring Ja Rule,0.781,0.746,8,-2.686,1,0.17,0.364,0,0.098,0.786,89.43,229800,4,26.64298,10,1
Sound Of Madness,Shinedown,0.328,0.939,2,-1.654,0,0.0423,4.93e-05,0.0065,0.337,0.329,185.971,233987,4,78.255,7,1
Here I Am,Rick Ross Featuring Nelly & Avery Storm,0.746,0.717,10,-5.788,0,0.127,0.189,0,0.0704,0.475,109.753,209547,4,38.40043,11,1
Black Sails At Midnight,Alestorm,0.493,0.977,5,-3.808,0,0.151,7.21e-06,0.00538,0.356,0.322,100.02,210987,4,55.87392,10,0
Crush,David Archuleta,0.57,0.664,0,-4.718,0,0.0322,0.00836,1.2e-05,0.0719,0.487,162.084,213520,4,33.46,8,1
Caustic Disco,Velvet Acid Christ,0.564,0.878,7,-6.835,1,0.0499,9.11e-06,0.793,0.671,0.483,127.046,287600,4,50.27437,11,0
Arctic,Valhall,0.277,0.836,2,-6.563,1,0.0458,0.000225,0.0284,0.117,0.351,95.514,267128,4,23.12976,10,0
Some Beach,Blake Shelton,0.787,0.765,0,-6.331,1,0.0265,0.231,1.79e-05,0.323,0.964,115.979,204827,4,30.21304,10,1
When You Lie Next To Me,Kellie Coffey,0.312,0.404,5,-10.014,1,0.0293,0.184,0,0.306,0.115,138.425,239827,4,54.21894,12,1
"1, 2, 3, 4",Plain White T's,0.458,0.55,2,-7.092,1,0.0262,0.566,1.39e-05,0.108,0.56,90.56,198360,4,22.42462,10,1
Mama's Song,Carrie Underwood,0.341,0.659,2,-5.419,1,0.0357,0.442,0,0.096,0.269,79.987,240240,4,25.29826,14,1
Occult Glider,Jazkamer,0.168,0.808,7,-4.563,0,0.108,0.0329,0.964,0.331,0.0209,91.269,745600,3,76.55211,28,0
Hotarunohikari,Ikimonogakari,0.566,0.919,2,-1.901,0,0.0639,0.0666,0,0.34,0.55,146.99,242293,4,30.40491,11,0
Used To Love U,John Legend,0.661,0.796,7,-4.776,1,0.0833,0.0347,0,0.396,0.657,87.982,210867,4,25.31054,9,1
Rush,Aly & AJ,0.548,0.815,2,-5.218,0,0.0409,0.0175,8.9e-06,0.127,0.212,129.963,191733,4,42.49121,8,1
I Remember,Keyshia Cole,0.422,0.736,5,-4.426,0,0.049,0.203,0,0.102,0.303,129.278,260093,4,29.05424,12,1
Feeling Good - No Apologize Radio Edit,DJ Wag,0.71,0.796,0,-9.427,1,0.0554,0.00875,0.859,0.101,0.523,135.012,239964,4,18.22517,14,0
We Made It,Busta Rhymes Featuring Linkin Park,0.62,0.746,11,-6.006,1,0.0552,0.424,0,0.0684,0.191,138.454,238067,4,23.56907,11,1
Almost Home,Craig Morgan,0.525,0.481,8,-6.715,1,0.0251,0.302,0,0.121,0.237,75.974,289000,4,42.11222,11,1
Who Let The Dogs Out,Baha Men,0.869,0.887,0,-4.505,1,0.0993,0.0605,0,0.148,0.784,129.221,198400,4,29.40143,10,1
Pollution Rock,Nordre Sving,0.547,0.683,2,-7.749,1,0.0368,0.0236,0,0.093,0.888,94.937,163997,4,48.12128,8,0
Ordinary People,John Legend,0.469,0.132,10,-14.001,1,0.0807,0.929,0,0.0873,0.36,67.011,281467,3,23.73524,11,1
Coming Back Around - Domu Re-Beat Mix,Domu,0.364,0.866,1,-6.798,1,0.139,0.0134,0.00618,0.109,0.963,189.091,374773,3,29.83122,19,0
Living In Fast Forward,Kenny Chesney,0.689,0.907,9,-5.587,1,0.037,0.0254,0.000732,0.138,0.912,116.968,211893,4,41.28787,10,1
Königin,Faun,0.602,0.328,3,-16.128,1,0.0249,0.842,0.000758,0.208,0.413,108.003,385253,4,43.01027,21,0
How Far,Martina McBride,0.473,0.59,6,-5.373,1,0.0298,0.359,0,0.101,0.334,140.191,235307,4,38.45284,10,1
5 Star,Yo Gotti,0.715,0.809,9,-5.598,1,0.205,0.0607,0,0.352,0.636,76.493,247440,4,29.85259,9,1
Luckiest Man,The Wood Brothers,0.571,0.281,5,-10.56,1,0.0475,0.74,0,0.163,0.294,142.263,233667,4,42.29581,9,0
Blow Me,DJ D,0.461,0.93,8,-8.343,0,0.187,0.0531,0.733,0.177,0.14,163.934,371984,4,48.20956,19,0
Still Broken,Plan Three,0.51,0.881,11,-4.384,0,0.0354,0.000591,1.46e-05,0.131,0.278,91.034,232093,4,31.97236,9,0
Life Ain't Always Beautiful,Gary Allan,0.481,0.508,2,-7.666,1,0.0248,0.216,0.000175,0.105,0.268,86.013,224613,4,71.34437,7,1
Kiss A Girl,Keith Urban,0.653,0.786,2,-5.418,1,0.0338,0.0103,2.19e-06,0.201,0.477,120.992,226733,4,33.55326,9,1
Open House,Guru,0.744,0.739,4,-6.272,0,0.307,0.119,0,0.106,0.678,79.245,185582,4,28.99861,8,0
1000 Estrellas,Charlie 3,0.473,0.722,5,-5.176,1,0.0358,0.00507,0,0.377,0.549,149.625,256000,4,40.17949,11,0
Another Postcard (Chimps),Barenaked Ladies,0.621,0.747,1,-6.552,0,0.0782,0.00227,0.000234,0.0449,0.726,172.31,205267,4,63.6742,8,1
As Good As I Once Was,Toby Keith,0.68,0.87,5,-4.461,1,0.0393,0.266,0,0.109,0.646,119.075,227840,4,57.79785,10,1
Headsprung,LL Cool J,0.718,0.786,0,-5.76,1,0.0284,0.0114,2.5e-05,0.0745,0.465,99.916,267320,4,40.33202,20,1
Polonaise Brilliante,Nikolai Kapustin,0.387,0.268,0,-13.996,1,0.0348,0.995,0.828,0.0942,0.337,113.357,518227,4,28.63663,17,0
Forever Heavy,Black Moth Super Rainbow,0.384,0.735,5,-4.856,0,0.0383,0.703,0.921,0.232,0.276,133.906,256013,4,78.69983,10,0
Treasure,Trevor Rabin,0.064,0.0794,3,-16.971,1,0.0403,0.432,0.896,0.151,0.0356,63.29,218947,4,57.70217,12,0
